213991;0
351143;0
1037962;0
1135276;0
1153044;0
1334111;0
1358477;0
878;0
78603;1
518531;1
711179;1
1823484;1
941;1
67762;2
1156938;2
1230925;2
1313620;2
1758474;2
1981192;2
1197;2
625981;3
994461;3
1678836;3
1217;3
648793;4
1634;4
485596;5
1167555;5
1210589;5
1301074;5
1775;5
202494;6
1300998;6
1622630;6
1951;6
683188;7
1000618;7
1155219;7
1464746;7
1980;7
27015;8
47291;8
49836;8
104237;8
141431;8
156090;8
287788;8
316610;8
360845;8
438330;8
539005;8
542750;8
590830;8
639330;8
739635;8
913508;8
919500;8
969097;8
1015059;8
1080738;8
1153287;8
1361914;8
1494822;8
1539699;8
1551408;8
1584322;8
1623059;8
1641524;8
1771294;8
1779593;8
1838460;8
1847576;8
1866801;8
1893880;8
2082124;8
2093417;8
2231;8
785378;9
833413;9
2369;9
17612;10
2672;10
200818;11
348630;11
422105;11
572516;11
580137;11
1406132;11
2000882;11
2070430;11
2679;11
548934;12
1025406;12
1571802;12
2706;12
533435;13
902702;13
945534;13
1196189;13
1258281;13
1496596;13
1973530;13
2071114;13
3499;13
164193;14
272299;14
608482;14
1061543;14
1304803;14
1482663;14
4343;14
205691;15
1528665;15
4828;15
6534;16
755822;16
757845;16
986349;16
1076477;16
1549439;16
6110;16
1392770;17
6162;17
548950;18
6286;18
431836;19
510274;19
1008448;19
1070212;19
1305659;19
1942120;19
2037299;19
6936;19
306905;20
634799;20
2049819;20
7339;20
353561;21
504779;21
584127;21
734261;21
1493476;21
1572385;21
1652883;21
1815526;21
1986471;21
2034995;21
7613;21
266345;22
1082022;22
1732032;22
7639;22
313742;23
704362;23
742301;23
1195226;23
1334236;23
2045913;23
8129;23
1068896;24
8385;24
380279;25
1007694;25
1819553;25
8672;25
209259;26
245517;26
448786;26
526376;26
1428086;26
1713237;26
1845624;26
2045590;26
2052127;26
8764;26
474279;27
1674612;27
9103;27
74863;28
171388;28
266621;28
317830;28
453105;28
508400;28
579996;28
621937;28
681120;28
694782;28
706989;28
725128;28
744841;28
800018;28
963248;28
972171;28
1012935;28
1063223;28
1076581;28
1221553;28
1571002;28
1588397;28
1644652;28
1653859;28
1656838;28
1659862;28
1692159;28
1731401;28
1947399;28
1970153;28
2021879;28
2078145;28
9591;28
1486520;29
9924;29
10371;30
445535;31
637544;31
1310270;31
11053;31
371361;32
408012;32
1671980;32
11269;32
806371;33
11297;33
483106;34
483896;34
879255;34
11311;34
923068;35
1089305;35
1747039;35
11400;35
258314;36
1059177;36
13052;36
13354;37
46690;38
71352;38
142693;38
149510;38
257110;38
317896;38
365151;38
413957;38
424786;38
507619;38
604465;38
619071;38
625158;38
719374;38
769128;38
783769;38
916271;38
932733;38
941481;38
1331174;38
1348091;38
1450891;38
1525717;38
1549380;38
1641935;38
1670205;38
1731218;38
1997248;38
2021620;38
13357;38
75552;39
167351;39
341755;39
454363;39
516060;39
620091;39
668651;39
722741;39
762473;39
780030;39
807810;39
889616;39
1020918;39
1023506;39
1042844;39
1044979;39
1045438;39
1094071;39
1099240;39
1146036;39
1226244;39
1260302;39
1376451;39
1447965;39
1578816;39
1670710;39
1781719;39
1796805;39
1846909;39
1964777;39
2026701;39
13876;39
261813;40
444832;40
589095;40
838237;40
1200333;40
1282682;40
